0,0,0.00899,-0.102
0,0,0.00899,-0.102
0,0,0.00899,-0.102
0,0,0.009,-0.102
0,0,0.00898,-0.102
0,0,0.00897,-0.102
0,0,0.00895,-0.102
0,0,0.00894,-0.102
0,0,0.00893,-0.102
0,0,0.00891,-0.102
0,0,0.0089,-0.102
0,0,0.00889,-0.102
0,0,0.00887,-0.102
0,0,0.00886,-0.102
0,0,0.00885,-0.102
0,0,0.00883,-0.102
0,0,0.00882,-0.102
0,0,0.00881,-0.102
0,0,0.0088,-0.102
0,0,0.00878,-0.102
0,0,0.00877,-0.102
0,0,0.00876,-0.102
0,0,0.00874,-0.102
0,0,0.00873,-0.102
0,0,0.00872,-0.102
0,0,0.0087,-0.102
0,0,0.00869,-0.102
0,0,0.00868,-0.102
0,0,0.00866,-0.102
0,0,0.00865,-0.102
0,0,0.00864,-0.102
0,0,0.00863,-0.102
0,0,0.00861,-0.102
0,0,0.0086,-0.102
0,0,0.00859,-0.102
0,0,0.00858,-0.102
0,0,0.00856,-0.102
0,0,0.00855,-0.102
0,0,0.00854,-0.102
0,0,0.00852,-0.102
0,0,0.00851,-0.102
0,0,0.0085,-0.102
0,0,0.00849,-0.102
0,0,0.00847,-0.102
0,0,0.00846,-0.102
0,0,0.00845,-0.102
0,0,0.00844,-0.102
0,0,0.00842,-0.102
0,0,0.00841,-0.102
0,0,0.0084,-0.102
0,0,0.00839,-0.102
0,0,0.00838,-0.102
0,0,0.00836,-0.102
0,0,0.00835,-0.102
0,0,0.00834,-0.102
0,0,0.00833,-0.102
0,0,0.00831,-0.102
0,0,0.0083,-0.102
0,0,0.00829,-0.102
0,0,0.00828,-0.102
0,0,0.00826,-0.102
0,0,0.00825,-0.102
0,0,0.00824,-0.102
0,0,0.00823,-0.102
0,0,0.00822,-0.102
0,0,0.0082,-0.102
0,0,0.00819,-0.102
0,0,0.00818,-0.102
0,0,0.00817,-0.102
0,0,0.00816,-0.102
0,0,0.00814,-0.102
0,0,0.00813,-0.102
0,0,0.00812,-0.102
0,0,0.00811,-0.102
0,0,0.0081,-0.102
0,0,0.00808,-0.102
0,0,0.00807,-0.102
0,0,0.00806,-0.102
0,0,0.00805,-0.102
0,0,0.00804,-0.102
0,0,0.00802,-0.102
